python-atomicwrites 1.3.0-1
python-attrs 19.1.0-1
python-babel 2.7.0-1
python-babelfish 0.5.5-2
python-bcrypt 3.1.7-1
python-beaker 1.10.1-1
python-beautifulsoup4 4.7.1-1
python-bleach 3.1.0-1
python-blinker 1.4-4
python-cachecontrol 0.12.5-4
python-cached-property 1.5.1-2
python-cairo 1.18.1-1
python-cffi 1.12.3-1
python-chardet 3.0.4-2
python-click 7.0-1
python-colorama 0.4.1-1
python-cryptography 2.7-1
python-cycler 0.10.0-3
python-dateutil 2.8.0-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-decorator 4.4.0-1
python-defusedxml 0.6.0-1
python-distlib 0.2.9-1
python-distro 1.4.0-1
python-distutils-extra 2.39-3
python-docker 4.0.2-1
python-docker-pycreds 0.4.0-1
python-dockerpty 0.4.1-4
python-docopt 0.6.2-5
python-dogpile.cache 0.7.1-2
python-editor 1.0.4-1
python-entrypoints 0.3-1
python-enzyme 0.4.1-2
python-epub 0.5.2-2
python-extras 1.0.0-3
python-fixtures 3.0.0-3
python-flask 1.0.3-1
python-flask-babelex 0.9.3.r2.gd699306-1
python-flask-gravatar 0.5.0-1
python-flask-htmlmin 1.5.0-1
python-flask-login 0.4.1-2
python-flask-mail 0.9.1-1
python-flask-migrate 2.4.0-1
python-flask-paranoid 0.2-1
python-flask-principal 0.4.0-1
python-flask-script 2.0.6-2
python-flask-security 3.0.0-1
python-flask-sqlalchemy 2.3.2-2
python-flask-wtf 0.14.2-2
python-gobject 3.32.2-1
python-greenlet 0.4.15-1
python-guessit 3.0.3-1
python-html5lib 1.0.1-3
python-htmlmin 0.1.12-1
python-idna 2.8-1
python-importlib-metadata 0.18-1
python-iniconfig 1.0.0-2
python-ipykernel 5.1.1-1
python-ipywidgets 7.4.2-1
python-itsdangerous 1.1.0-1
python-jedi 0.13.3-1
python-jeepney 0.4-1
python-jellyfish 0.7.2-1
python-jinja 2.10.1-1
python-jmespath 0.9.4-1
python-jsonschema 3.0.1-1
python-jupyter_client 5.2.4-1
python-jupyter_core 4.5.0-1
python-keyring 19.0.1-1
python-keyrings-alt 1:3.1.1-1
python-kiwisolver 1.1.0-1
python-lockfile 0.12.2-4
python-mako 1.0.13-1
python-markupsafe 1.1.1-1
python-matplotlib 3.1.1-1
python-mimeparse 1.6.0-3
python-mistune 0.8.4-1
python-more-itertools 4.3.0-1
python-msgpack 0.6.1-1
python-munkres 1.1.2-1
python-musicbrainzngs 0.6-3
python-mutagen 1.42.0-3
